iter	Amex_metric_cat	Logloss
0	0.6370668082	0.6348385565
1	0.6909663452	0.5883920369
2	0.7289440658	0.5477355361
3	0.7510879148	0.5100740353
4	0.7712872043	0.4837636707
5	0.7922460992	0.4572152089
6	0.8054200881	0.4313713269
7	0.8115718505	0.4102205759
8	0.8234932996	0.3873499854
9	0.8314509906	0.3687208136
10	0.8348093532	0.3502502886
11	0.8398047345	0.339019408
12	0.848124428	0.3249482222
13	0.8525361674	0.3113908154
14	0.8560867694	0.300190821
15	0.8578159417	0.2861334283
16	0.8671122296	0.2759701839
17	0.8769797586	0.2658339058
18	0.8846336544	0.2592758123
19	0.8947732274	0.2525758038
20	0.8988896711	0.2460577728
21	0.9023348657	0.2395771333
22	0.9030324147	0.2332382747
23	0.9069698208	0.2281032196
24	0.9098833281	0.221418067
25	0.9133921032	0.2171468869
26	0.9140036211	0.2131659706
27	0.9174790688	0.2080188378
28	0.9232797576	0.2021508133
29	0.9261320357	0.1974815428
30	0.9334247561	0.1915209842
31	0.9338773878	0.188248428
32	0.9398741654	0.1843859511
33	0.9435402765	0.1787635777
34	0.9455120668	0.1757058319
35	0.9481783318	0.1728837387
36	0.9491774028	0.1696121933
37	0.95026328	0.1671342795
38	0.9543502716	0.1649701509
39	0.9553384919	0.1633105571
40	0.9571568214	0.1601940626
41	0.9590495562	0.157172082
42	0.9600261506	0.1551248766
43	0.9611469053	0.1531978037
44	0.9628598274	0.1518138624
45	0.9653997585	0.149022369
46	0.9687085695	0.1463875731
47	0.9705036474	0.1440292009
48	0.9721971932	0.1423433231
49	0.9745286347	0.140910247
50	0.9770150871	0.1382150186
51	0.9772840309	0.1363463231
52	0.9768267229	0.1331578982
53	0.9770390878	0.1312778929
54	0.9787186826	0.1287507661
55	0.9795766937	0.1269424184
56	0.9812671393	0.1247582719
57	0.9821918051	0.1219132047
58	0.9823646423	0.1196463718
59	0.9847534378	0.1175290215
60	0.9848386938	0.1166402484
61	0.9849169742	0.1148611239
62	0.9849534018	0.1137245454
63	0.9857866112	0.1121279273
64	0.9866593484	0.1100884105
65	0.9882273354	0.1083280479
66	0.9882994155	0.1071570627
67	0.9883575445	0.1056763444
68	0.9898968545	0.1041665934
69	0.991473367	0.1026963295
70	0.9930351536	0.1012285471
71	0.9938776636	0.09991432583
72	0.9939272671	0.09838583825
73	0.9939667949	0.09755412861
74	0.993982296	0.09686895112
75	0.994824031	0.09524462156
76	0.9948472826	0.09441403006
77	0.9956719665	0.09330440581
78	0.995693668	0.0924038995
79	0.9957207949	0.09153197772
80	0.995764973	0.09010183246
81	0.9972926571	0.08869789448
82	0.9980847887	0.08743797153
83	0.9981088154	0.08617969676
84	0.9981514434	0.08487553117
85	0.9982793273	0.08382893579
86	0.9983072293	0.0826881517
87	0.9983235054	0.08170922396
88	0.9990993608	0.08088805081
89	0.9991148619	0.07978597679
90	0.9991257127	0.07838972997
91	0.9991350133	0.07727873619
92	0.9991435389	0.07618112927
93	0.999158265	0.07530518277
94	0.9991667906	0.07406887139
95	0.9991714409	0.07346800601
96	0.9999472963	0.07234636917
97	0.9999635724	0.07149893633
98	0.9999744232	0.07049092558
99	0.9999744232	0.06980850582
100	0.9999751983	0.06860718456
101	0.9999767484	0.06801964555
102	0.9999821737	0.06739656597
103	0.9999883742	0.06662567971
104	0.9999899243	0.06577421468
105	0.9999899243	0.06465344513
106	0.9999914744	0.06357607601
107	0.9999914744	0.06282565422
108	0.9999922495	0.06209635205
109	0.9999922495	0.06156898902
110	0.9999922495	0.06042895835
111	0.9999937996	0.05982085552
112	0.9999961247	0.05877445097
113	0.9999968998	0.05811611525
114	0.9999968998	0.05734315237
115	0.9999968998	0.05692846263
116	0.9999968998	0.05607252009
117	0.9999976748	0.05564574236
118	0.9999984499	0.05512169485
119	0.9999984499	0.0547531538
120	0.9999984499	0.05401362342
121	0.9999992249	0.05306017179
122	1	0.05248675296
123	1	0.05194708622
124	1	0.0513491541
125	1	0.05086437841
126	1	0.05038101817
127	1	0.04969942685
128	1	0.04929219386
129	1	0.04886004183
130	1	0.04847838865
131	1	0.04798265063
132	1	0.04725667254
133	1	0.04662945544
134	1	0.04609683906
135	1	0.04539191936
136	1	0.04456558109
137	1	0.04416878461
138	1	0.04382634503
139	1	0.04343338349
140	1	0.04260512816
141	1	0.04206648096
142	1	0.04172514804
143	1	0.0414304948
144	1	0.04057816578
145	1	0.0402698865
146	1	0.03962964771
147	1	0.03922336689
148	1	0.03845938172
149	1	0.03806135088
150	1	0.03761979858
151	1	0.03711614082
152	1	0.03667007864
153	1	0.03620245174
154	1	0.03543831017
155	1	0.03512752272
156	1	0.03461856085
157	1	0.03433988148
158	1	0.03385791961
159	1	0.03361048098
160	1	0.03319550973
161	1	0.03283179601
162	1	0.03244100371
163	1	0.0319836754
164	1	0.03146401939
165	1	0.03108252563
166	1	0.03085857289
