iter	Passed	Remaining
0	639	638566
1	1133	565508
2	1628	541130
3	2128	530048
4	2771	551540
5	3278	543186
6	3771	534988
7	4360	540675
8	5018	552575
9	5494	543976
10	5978	537483
11	6461	531996
12	7119	540507
13	7600	535286
14	8102	532073
15	8597	528768
16	9305	538081
17	9822	535852
18	10318	532738
19	10804	529397
20	11478	535129
21	11976	532406
22	12577	534251
23	13057	530988
24	13722	535174
25	14223	532830
26	14724	530633
27	15229	528691
28	15895	532226
29	16392	530008
30	16879	527616
31	17375	525609
32	18040	528641
33	18529	526450
34	19040	524968
35	19524	522823
36	20192	525563
37	20777	525996
38	21280	524375
39	21766	522407
40	22418	524375
41	22900	522339
42	23399	520779
43	23882	518911
44	24568	521392
45	25080	520142
46	25594	518970
47	26106	517770
48	26764	519452
49	27252	517804
50	27743	516245
51	28237	514785
52	28895	516299
53	29474	516341
54	29961	514798
55	30445	513232
56	31111	514707
57	31604	513298
58	32110	512135
59	32626	511143
60	33307	512710
61	33887	512677
62	34460	512532
63	35044	512531
64	35767	514500
65	36301	513722
66	36948	514517
67	37640	515890
68	38360	517584
69	39066	519032
70	39695	519394
71	40232	518552
72	41017	520871
73	41556	520011
74	42141	519740
75	42725	519456
76	43431	520619
77	43987	519955
78	44521	519039
79	45015	517675
80	45726	518792
81	46385	519293
82	46914	518320
83	47682	519966
84	48502	522117
85	49146	522320
86	49739	521983
87	50297	521261
88	50979	521823
89	51542	521150
90	52192	521350
91	52802	521140
92	54130	527922
93	54902	529163
94	56370	537006
95	57637	542751
96	58670	546181
97	60004	552282
98	61175	556762
99	61911	557202
100	63031	561046
101	63798	561673
102	64419	561011
103	65488	564205
104	66881	570088
105	67439	568779
106	67998	567504
107	68556	566224
108	69326	566698
109	70049	566761
110	70733	566505
111	71482	566752
112	72357	567976
113	72879	566411
114	73468	565389
115	74506	567791
116	75840	572372
117	76888	574711
118	77737	575521
119	78629	576615
120	79960	580869
121	80925	582394
122	82135	585632
123	83300	588478
124	84630	592412
125	85541	593362
126	86481	594472
127	87350	595075
128	88605	598260
129	89333	597844
130	90303	599034
131	90920	597870
132	91684	597672
133	92334	596725
134	92926	595415
135	93514	594090
136	94314	594114
137	94865	592568
138	95396	590907
139	95925	589254
140	96753	589439
141	97405	588546
142	97978	587185
143	98511	585594
144	99257	585274
145	99842	584011
146	100361	582372
147	100933	581047
148	101757	581180
149	102338	579918
150	102961	578900
151	103659	578310
152	104415	578037
153	105074	577225
154	105720	576346
155	106261	574901
156	106954	574284
157	107492	572838
158	108052	571522
159	108655	570439
160	109417	570193
161	109951	568760
162	110488	567357
163	111025	565960
164	111819	565875
165	112491	565167
166	113177	564532
